Open,High,Low,Close,Adj Close,Volume
1211.00,1211.00,1193.50,1197.45,1192.97,7150435.00
1189.00,1219.10,1186.10,1210.75,1206.22,9393731.00
1212.00,1228.50,1206.90,1225.60,1221.02,5919260.00
1235.00,1240.45,1205.70,1210.35,1205.82,5431139.00
1222.50,1240.00,1222.50,1234.40,1229.78,5544468.00
1220.65,1233.00,1213.15,1222.20,1217.63,5370758.00
1203.00,1229.00,1195.25,1222.50,1217.93,10600234.00
1206.80,1213.20,1193.30,1198.60,1194.12,10512763.00
1200.55,1205.25,1186.05,1201.15,1196.66,15063355.00
1242.25,1243.00,1200.00,1206.40,1201.89,8563009.00
1245.50,1254.40,1221.00,1248.55,1243.88,11308120.00
1256.45,1260.25,1235.30,1241.75,1237.10,8635974.00
1273.75,1281.00,1256.05,1263.30,1258.57,5305639.00
1285.00,1285.00,1261.20,1274.85,1270.08,12984396.00
1294.00,1294.00,1259.00,1266.80,1262.06,8778739.00
1239.00,1284.00,1226.50,1275.85,1271.08,9741262.00
1270.95,1271.00,1238.90,1246.75,1242.09,6414937.00
1275.65,1278.65,1266.50,1270.95,1266.20,4881553.00
1289.80,1292.60,1272.60,1275.95,1271.18,6843460.00
1281.05,1296.80,1280.00,1292.60,1287.76,7459859.00
1291.20,1291.80,1273.00,1278.00,1273.22,10047496.00
1304.00,1304.45,1280.35,1288.25,1283.43,14487137.00
1233.15,1302.80,1226.00,1274.75,1269.98,47923444.00
1161.85,1175.50,1152.30,1162.10,1157.75,10043949.00
1108.35,1158.00,1095.30,1152.35,1148.04,14262936.00
1126.50,1138.55,1103.10,1109.40,1105.25,11588879.00
1134.75,1149.60,1122.00,1128.30,1124.08,13288909.00
1167.00,1167.00,1128.00,1143.35,1139.07,13897461.00
1175.70,1198.25,1162.10,1184.35,1179.92,10865385.00
1163.40,1188.20,1150.35,1180.25,1169.42,10344862.00
1175.75,1185.00,1162.40,1166.25,1155.55,9705619.00
1213.95,1220.00,1175.95,1180.90,1170.06,9533344.00
1216.90,1222.00,1205.10,1210.95,1199.84,8058035.00
1231.50,1242.50,1210.00,1213.80,1202.66,9320481.00
1264.00,1269.05,1227.00,1231.50,1220.20,9968545.00
1273.50,1278.80,1253.55,1259.10,1247.55,6943982.00
1285.00,1293.90,1260.40,1273.55,1261.86,9287951.00
1251.00,1284.50,1227.30,1280.50,1268.75,13300153.00
1268.20,1272.95,1242.70,1249.00,1237.54,7468515.00
1282.00,1286.40,1258.00,1261.85,1250.27,5459896.00
1294.30,1297.00,1280.00,1281.85,1270.09,4334958.00
1279.95,1294.90,1277.05,1293.00,1281.14,4604019.00
1285.00,1289.50,1270.35,1276.10,1264.39,4873164.00
